cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
patronage/nn	1.2014431555286353	-0.7965291253348261	0	-0.026274461	equipment/nn	NA
pay/nn	15.328639858524026	20.230511661406336	9	0.71963584	recipe/nn	recipe/nn
payback/nn	16.080113936982737	21.167901782161888	9	0.801571	recipe/nn	recipe/nn
paycheck/nn	9.36202846862437	-4.016905576678857	4	0.5610972	paycheck/nn	paycheck/nn
payment/nn	23.223053339108905	-3.6356773471933215	2	0.8063467	decision/nn	decision/nn
peace/nn	16.835744562662224	21.34692086621539	9	0.77443355	recipe/nn	recipe/nn
penalty/nn	-15.176883698100408	-11.078607715680864	8	0.25669277	process/nn	process/nn
penicillin/nn	1.2017592224524167	23.329677337404757	6	0.04119087	exposure/nn	exposure/nn
penny/nn	-6.481336514127081	17.068583635368896	14	0.4910677	headache/nn	headache/nn
percent/nn	18.094124572246066	-25.714800021200308	5	0.50983447	description/nn	description/nn
permission/nn	15.192996086824568	12.37791608848425	1	0.1601437	leeway/nn	leeway/nn
permit/nn	-2.545716721630468	21.073885011966524	14	0.5529395	headache/nn	headache/nn
perspective/nn	-25.044693852118883	22.240524692605064	3	0.5204126	pat/nn	pat/nn
pet/nn	9.237149952807515	-4.415212204762919	4	0.5417181	paycheck/nn	paycheck/nn
physical/nn	7.421248881605705	-2.670214468645152	4	0.48326138	paycheck/nn	paycheck/nn
picture/nn	10.06452944256856	-27.112079342331487	5	0.43152615	description/nn	description/nn
pictures/nn	-15.047683230836569	8.340622677919221	11	0.7111446	time/nn	time/nn
piece/nn	18.141944351861977	-27.511995558034233	5	0.6404513	description/nn	description/nn
pill/nn	-5.766220066683195	-21.627113210513777	0	-0.21247956	equipment/nn	NA
pipe/nn	-15.004554392396921	-23.603420718062583	7	0.43060848	custody/nn	custody/nn
place/nn	-11.804750608778924	-22.406727849133887	7	0.5257381	custody/nn	custody/nn
places/nn	-12.375263262566273	-23.14628490903378	7	0.577367	custody/nn	custody/nn
plan/nn	-6.793290685309765	-2.233503075604674	12	0.036658052000000003	mortgage/nn	mortgage/nn
plans/nn	15.861341336495427	-8.094532344395818	4	0.14419572	paycheck/nn	paycheck/nn
plant/nn	0.2561535640247304	-0.37302516461431334	0	0.24073802	equipment/nn	equipment/nn
plate/nn	-25.837038243669646	25.897267053476305	3	0.6659645	pat/nn	pat/nn
points/nn	23.726306157434795	-5.049920969856779	2	0.7346835	decision/nn	decision/nn
point/nn	-14.72546105887462	8.055529121710842	11	0.7433225	time/nn	time/nn
poke/nn	-13.141216688108562	-22.355177413443016	7	0.54883665	custody/nn	custody/nn
policy/nn	-10.567956003381674	-4.138053677801319	6	0.35566527	exposure/nn	exposure/nn
pony/nn	-21.57301820801211	26.4493273711036	3	0.10218277	pat/nn	pat/nn
potential/nn	16.686065518998642	20.745393720225053	9	0.79052377	recipe/nn	recipe/nn
power/nn	0.1696647356850488	-0.32940058566877073	0	0.24488564	equipment/nn	equipment/nn
preference/nn	9.954905984480567	-5.818886953861959	4	0.39738747	paycheck/nn	paycheck/nn
prescription/nn	-3.5145784754043974	4.164728747974456	0	0.3356033	equipment/nn	equipment/nn
present/nn	1.3449146077514407	21.569470666099097	1	-0.05855135	leeway/nn	NA
price/nn	7.780915010363191	12.612861500540943	12	0.08665733	mortgage/nn	mortgage/nn
printout/nn	-3.1415756846487373	7.319811855401429	5	0.06573678	description/nn	description/nn
problem/nn	-17.81449792372617	-8.656967552537544	8	0.39757192	process/nn	process/nn
problems/nn	10.688288588777334	-6.322928652740136	4	0.32957613	paycheck/nn	paycheck/nn
process/nn	-17.149925782815128	-13.841988609171464	8	0.6009481	process/nn	process/nn
products/nn	-28.345833544077735	21.755669287741945	3	0.38923734	pat/nn	pat/nn
product/nn	17.758949965231984	-29.34241740999689	5	0.6105087	description/nn	description/nn
profit-sharing/nn	-10.738376104144843	-23.222365965815946	7	0.4787248	custody/nn	custody/nn
protection/nn	14.562229233886338	22.02064623355153	9	0.7604097	recipe/nn	recipe/nn
psychotic/nn	16.87911682327621	-20.352998072838254	5	0.22498588	description/nn	description/nn
punishment/nn	15.71072003779547	20.9200978315951	9	0.7949922	recipe/nn	recipe/nn
puppy/nn	-8.657551902667043	24.543231567394944	14	0.32684654	headache/nn	headache/nn
purse/nn	9.225438140524878	-3.114114345520692	4	0.53777504	paycheck/nn	paycheck/nn
push/nn	14.966349902677623	19.37020537202489	9	0.6533237	recipe/nn	recipe/nn
quantity/nn	16.664936968649442	-25.2563513016703	5	0.6370292	description/nn	description/nn
question/nn	18.98004847578244	1.9962050644309042	1	0.2700135	leeway/nn	leeway/nn
questionnaire/nn	-4.161224801338899	23.890603349525705	14	0.5683686	headache/nn	headache/nn
rabbit/nn	-6.913140434567294	21.429122316829336	14	0.6303362	headache/nn	headache/nn
raise/nn	-0.8496027711877442	21.286595249354328	14	0.4428604	headache/nn	headache/nn
rap/nn	-8.097896423078138	20.596469712063865	14	0.5292352	headache/nn	headache/nn
rash/nn	18.742544827436266	-29.160601701764907	5	0.4820236	description/nn	description/nn
rates/nn	9.448875542305984	15.676509860163538	12	0.2825607	mortgage/nn	mortgage/nn
rate/nn	9.921792903016659	15.230439365225632	12	0.44925407	mortgage/nn	mortgage/nn
rating/nn	9.65197845429411	16.19910760161186	12	0.18330769	mortgage/nn	mortgage/nn
