cw	x	y	cluster_number	medoid_label	silhouette	final_cluster
bonus/nn	33.31495610183274	-1.9605172597057705	10	discount/nn	0.47301155	discount/nn
booklet/nn	-12.583504557065451	-11.685276241612977	12	list/nn	0.23270144	list/nn
book/nn	-14.918614729228146	-16.466122573390027	4	broadcast/nn	0.1771906	broadcast/nn
brand/nn	-19.98687120990781	5.771101307658642	11	tang/nn	-0.07921895	NA
break/nn	-10.941788134549176	-20.263924729391398	4	broadcast/nn	0.46965617	broadcast/nn
broadcast/nn	-13.745022969743077	-20.188663663053596	4	broadcast/nn	0.48787868	broadcast/nn
buck/nn	36.26783582379756	-12.24077657884849	9	worth/nn	0.29796824	worth/nn
budget/nn	30.125693334513105	2.15135713330679	10	discount/nn	0.3732115	discount/nn
bulb/nn	-31.925115068609205	0.10574918377475385	3	pat/nn	0.08580441	pat/nn
cable/nn	-14.654017876411055	-19.130494078125608	4	broadcast/nn	0.39638093	broadcast/nn
call/nn	-9.730305735282597	-18.286058583535358	4	broadcast/nn	0.30540553	broadcast/nn
can/nn	-33.23179443043021	1.7632451904021555	3	pat/nn	0.013700634	pat/nn
car/nn	-30.254100618768582	-2.4476217372443667	2	drainage/nn	-0.010274694	NA
card/nn	31.599444461430206	-5.385893774853619	10	discount/nn	0.2939797	discount/nn
care/nn	15.645074889653031	5.044220236748886	1	access/nn	0.34408045	access/nn
cash/nn	32.7824028209725	-6.5505388183507725	10	discount/nn	0.08510418	discount/nn
cent/nn	36.16361665725353	-10.187438411963544	9	worth/nn	0.51128423	worth/nn
certificate/nn	-2.2549789452544293	8.160550629875267	13	activity/nn	0.056204412	activity/nn
chance/nn	9.668344614547664	15.424023126361776	6	experience/nn	0.13142924	experience/nn
checkbook/nn	31.77834022821715	-5.370899108344401	10	discount/nn	0.24552675	discount/nn
choice/nn	18.869535213047808	12.923235905611614	0	thrust/nn	0.3011847	thrust/nn
clue/nn	-1.5541160734219215	6.797969938649274	12	list/nn	-0.1265945	NA
coat/nn	-36.988349753329636	-3.1791188672690245	3	pat/nn	0.46321774	pat/nn
code/nn	16.34410219403964	0.4051835730945294	5	jurisdiction/nn	0.39044008	jurisdiction/nn
comedy/nn	-16.25978087995101	-18.649352429090044	4	broadcast/nn	0.36262578	broadcast/nn
command/nn	11.341876601773281	8.547904498692075	1	access/nn	0.2259372	access/nn
computer/nn	-12.169209039799878	-8.637297069858397	12	list/nn	0.2937947	list/nn
concession/nn	15.644047656531312	10.979095507733645	0	thrust/nn	0.16168576	thrust/nn
consistency/nn	10.122925212723924	18.10426877583059	6	experience/nn	0.23051862	experience/nn
container/nn	-29.03054541239096	2.900207002517717	2	drainage/nn	0.25396338	drainage/nn
contract/nn	28.95987767891258	-0.5035813019478087	10	discount/nn	0.34347597	discount/nn
control/nn	11.972866248300324	8.966061958856228	1	access/nn	0.18865179	access/nn
course/nn	8.821940709626844	10.724427008947885	13	activity/nn	-0.066697106	NA
coverage/nn	26.292738650019892	1.6757177021511223	1	access/nn	-0.0028419602	NA
credibility/nn	9.673784153390436	17.89230983173488	6	experience/nn	0.28425193	experience/nn
credit-card/nn	30.941784464039525	-4.78927310548032	10	discount/nn	0.3921974	discount/nn
credit/nn	30.875913888106993	-4.247031946357097	10	discount/nn	0.4551688	discount/nn
creep/nn	-5.597244375797691	-1.4322196653394532	14	one/pn	0.4880114	one/pn
cup/nn	-34.39851396787386	7.018487297137883	11	tang/nn	0.5667873	tang/nn
curriculum/nn	8.05472494443957	10.094187370415096	13	activity/nn	-0.027326247	NA
custody/nn	16.09178972439565	-3.327644187807562	5	jurisdiction/nn	0.6459247	jurisdiction/nn
cut/nn	30.39038141232313	1.9429802182117757	10	discount/nn	0.41227576	discount/nn
cyanide/nn	-27.56356051145528	2.935052425052001	2	drainage/nn	0.36908904	drainage/nn
day/nn	35.552758900403624	-17.42489073825662	8	minute/nn	0.66545916	minute/nn
deal/nn	29.78088059463392	-0.01946807341148259	10	discount/nn	0.39708263	discount/nn
decision/nn	16.210050287197717	-1.6233188560591276	5	jurisdiction/nn	0.51487476	jurisdiction/nn
deer/nn	-37.233184268965395	-0.1588560250742535	3	pat/nn	0.32632744	pat/nn
degree/nn	39.35286683837639	-6.862155892398433	9	worth/nn	0.15710033	worth/nn
demonstration/nn	-5.953062655126988	-19.997191314640293	4	broadcast/nn	0.17553324	broadcast/nn
demonstrator/nn	-5.263343997120337	-20.060439770639984	4	broadcast/nn	0.050656494	broadcast/nn
demo/nn	-16.78576813757638	-16.059406145027697	4	broadcast/nn	0.24345656	broadcast/nn
description/nn	-8.114231588434986	0.632939728506963	12	list/nn	0.08952189	list/nn
detention/nn	15.901493495013248	-3.007934701012882	5	jurisdiction/nn	0.636768	jurisdiction/nn
diet/nn	-18.556586755698817	6.634794255470835	7	transfusion/nn	0.24278349	transfusion/nn
dignity/nn	10.132504251219132	19.5205203672072	6	experience/nn	0.2410056	experience/nn
direction/nn	3.0220408965532677	19.108074980543805	6	experience/nn	0.25309294	experience/nn
discount/nn	31.051998291365212	-2.953854091564991	10	discount/nn	0.49961916	discount/nn
dity/nn	-8.738429758395931	-2.5739182617293106	12	list/nn	-0.029402139	NA
dog/nn	-37.82250949980948	-0.7223158008176123	3	pat/nn	0.37014982	pat/nn
dollar/nn	34.880731569476865	-9.757731788281406	9	worth/nn	0.4736656	worth/nn
doubt/nn	6.174927792202957	20.21997674695121	6	experience/nn	0.39889342	experience/nn
drainage/nn	-27.96575500860054	2.0361302503153107	2	drainage/nn	0.4065452	drainage/nn
dressing/nn	-32.05283194781518	3.1163626996790788	2	drainage/nn	-0.1617005	NA
drug/nn	-14.953287177594445	8.63445430021988	7	transfusion/nn	0.62639105	transfusion/nn
edge/nn	-28.309935411231873	-1.3552173928095232	2	drainage/nn	0.21570228	drainage/nn
education/nn	12.580673849963237	5.95479001768019	1	access/nn	0.35178062	access/nn
effect/nn	1.0425327419669819	10.976120648867258	13	activity/nn	0.37824363	activity/nn
eighty/mc	35.98232199656348	-13.853217175200705	8	minute/nn	0.2070647	minute/nn
election/nn	-5.8792349088779465	-20.96685244361185	8	minute/nn	0.08778991	minute/nn
energy/nn	11.442305935777645	5.991573761737865	1	access/nn	0.37880343	access/nn
entertainment/nn	-16.058910451993317	-19.16288451256601	4	broadcast/nn	0.40271944	broadcast/nn
equipment/nn	-22.242883132596067	4.1093627561185775	2	drainage/nn	0.17385463	drainage/nn
estimate/nn	36.75795114095849	-8.321461294272781	9	worth/nn	0.4436475	worth/nn
evaluation/nn	-11.421754242647053	7.05815550811334	7	transfusion/nn	0.33294657	transfusion/nn
